session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
jo496rl6,1,fs5ikujx,0,,InitializeParticipant,1643634791,1,0,0
jo496rl6,2,sggrqgiu,0,,InitializeParticipant,1643634867,1,0,0
jo496rl6,4,ooo4rp2e,0,,InitializeParticipant,1643635285,1,0,0
jo496rl6,5,hp78vsfo,0,,InitializeParticipant,1643635286,1,0,0
jo496rl6,3,zcp3xf5i,1,Intro,Welcome,1643635287,1,0,0
jo496rl6,7,q3cbyi7h,0,,InitializeParticipant,1643635289,1,0,0
jo496rl6,5,hp78vsfo,3,Intro,Consent,1643635292,1,0,0
jo496rl6,1,fs5ikujx,1,Intro,Welcome,1643634796,1,0,0
jo496rl6,3,zcp3xf5i,0,,InitializeParticipant,1643634869,1,0,0
jo496rl6,9,wdec3dsj,1,Intro,Welcome,1643635331,1,0,0
jo496rl6,6,8fyi1754,0,,InitializeParticipant,1643635288,1,0,0
jo496rl6,5,hp78vsfo,1,Intro,Welcome,1643635289,1,0,0
jo496rl6,4,ooo4rp2e,3,Intro,Consent,1643635356,1,0,0
jo496rl6,5,hp78vsfo,6,belief_survey,UrnDraw,1643635425,1,0,0
jo496rl6,7,q3cbyi7h,1,Intro,Welcome,1643635328,1,0,0
jo496rl6,9,wdec3dsj,3,Intro,Consent,1643635337,1,0,0
jo496rl6,4,ooo4rp2e,1,Intro,Welcome,1643635351,1,0,0
jo496rl6,5,hp78vsfo,5,belief_survey,InstructionsFeedback,1643635405,1,0,0
jo496rl6,5,hp78vsfo,7,belief_survey,BeliefInput,1643635458,1,0,0
jo496rl6,6,8fyi1754,3,Intro,Consent,1643635335,1,0,0
jo496rl6,5,hp78vsfo,15,belief_survey,BeliefInput,1643635481,3,0,0
jo496rl6,5,hp78vsfo,4,belief_survey,Instructions,1643635383,1,0,0
jo496rl6,5,hp78vsfo,19,belief_survey,BeliefInput,1643635485,4,0,0
jo496rl6,9,wdec3dsj,0,,InitializeParticipant,1643635292,1,0,0
jo496rl6,5,hp78vsfo,27,belief_survey,BeliefInput,1643635499,6,0,0
jo496rl6,8,r3o51cei,0,,InitializeParticipant,1643635290,1,0,0
jo496rl6,3,zcp3xf5i,3,Intro,Consent,1643635297,1,0,0
jo496rl6,6,8fyi1754,1,Intro,Welcome,1643635327,1,0,0
jo496rl6,7,q3cbyi7h,3,Intro,Consent,1643635339,1,0,0
jo496rl6,5,hp78vsfo,51,belief_survey,BeliefInput,1643635528,12,0,0
jo496rl6,5,hp78vsfo,53,questionnaire,BeliefQuestions,1643635626,1,0,0
jo496rl6,5,hp78vsfo,23,belief_survey,BeliefInput,1643635494,5,0,0
jo496rl6,5,hp78vsfo,31,belief_survey,BeliefInput,1643635503,7,0,0
jo496rl6,5,hp78vsfo,43,belief_survey,BeliefInput,1643635518,10,0,0
jo496rl6,5,hp78vsfo,47,belief_survey,BeliefInput,1643635523,11,0,0
jo496rl6,8,r3o51cei,1,Intro,Welcome,1643635530,1,0,0
jo496rl6,3,zcp3xf5i,4,belief_survey,Instructions,1643635604,1,0,0
jo496rl6,5,hp78vsfo,54,questionnaire,CRT,1643635656,1,0,0
jo496rl6,5,hp78vsfo,11,belief_survey,BeliefInput,1643635467,2,0,0
jo496rl6,2,sggrqgiu,1,Intro,Welcome,1643635752,1,0,0
jo496rl6,5,hp78vsfo,52,questionnaire,Transition,1643635531,1,0,0
jo496rl6,3,zcp3xf5i,6,belief_survey,UrnDraw,1643635774,1,0,0
jo496rl6,2,sggrqgiu,3,Intro,Consent,1643635754,1,0,0
jo496rl6,11,gpknv1v0,0,,InitializeParticipant,1643635789,1,0,0
jo496rl6,5,hp78vsfo,39,belief_survey,BeliefInput,1643635513,9,0,0
jo496rl6,16,ys08wudz,0,,InitializeParticipant,1643635792,1,0,0
jo496rl6,3,zcp3xf5i,5,belief_survey,InstructionsFeedback,1643635631,1,0,0
jo496rl6,5,hp78vsfo,55,questionnaire,Demographics,1643635691,1,0,0
jo496rl6,23,cervici2,0,,InitializeParticipant,1643635795,1,0,0
jo496rl6,5,hp78vsfo,35,belief_survey,BeliefInput,1643635508,8,0,0
jo496rl6,8,r3o51cei,3,Intro,Consent,1643635543,1,0,0
jo496rl6,20,7yi3dl23,0,,InitializeParticipant,1643635796,1,0,0
jo496rl6,10,eg6fnvqj,0,,InitializeParticipant,1643635785,1,0,0
jo496rl6,15,ri4lvcum,0,,InitializeParticipant,1643635793,1,0,0
jo496rl6,21,4n8t6bjb,0,,InitializeParticipant,1643635795,1,0,0
jo496rl6,13,fxmi0uc8,3,Intro,Consent,1643635795,1,0,0
jo496rl6,25,iu24duhh,0,,InitializeParticipant,1643635796,1,0,0
jo496rl6,22,918avqoj,0,,InitializeParticipant,1643635796,1,0,0
jo496rl6,31,mu6tjiuq,0,,InitializeParticipant,1643635801,1,0,0
jo496rl6,37,1zs7n37b,0,,InitializeParticipant,1643635804,1,0,0
jo496rl6,44,mu7tjj8a,0,,InitializeParticipant,1643635806,1,0,0
jo496rl6,48,8tv79l21,0,,InitializeParticipant,1643635808,1,0,0
jo496rl6,25,iu24duhh,1,Intro,Welcome,1643635810,1,0,0
jo496rl6,11,gpknv1v0,3,Intro,Consent,1643635810,1,0,0
jo496rl6,10,eg6fnvqj,1,Intro,Welcome,1643635811,1,0,0
jo496rl6,53,e5g4w001,0,,InitializeParticipant,1643635812,1,0,0
jo496rl6,56,zmh3pcq6,0,,InitializeParticipant,1643635813,1,0,0
jo496rl6,33,k9wwdmm1,1,Intro,Welcome,1643635815,1,0,0
jo496rl6,61,xqt1znmy,0,,InitializeParticipant,1643635815,1,0,0
jo496rl6,43,9llctmb1,1,Intro,Welcome,1643635816,1,0,0
jo496rl6,66,nptzn8et,0,,InitializeParticipant,1643635817,1,0,0
jo496rl6,68,sryluqjm,0,,InitializeParticipant,1643635818,1,0,0
jo496rl6,69,hh9rq3do,0,,InitializeParticipant,1643635818,1,0,0
jo496rl6,43,9llctmb1,3,Intro,Consent,1643635821,1,0,0
jo496rl6,73,qx2uint7,0,,InitializeParticipant,1643635821,1,0,0
jo496rl6,40,cqq67dm6,1,Intro,Welcome,1643635823,1,0,0
jo496rl6,87,w723on60,0,,InitializeParticipant,1643635825,1,0,0
jo496rl6,89,39hnlc25,0,,InitializeParticipant,1643635826,1,0,0
jo496rl6,58,3rar2o9n,3,Intro,Consent,1643635826,1,0,0
jo496rl6,50,emkipr51,1,Intro,Welcome,1643635826,1,0,0
jo496rl6,94,sgn61g84,0,,InitializeParticipant,1643635828,1,0,0
jo496rl6,23,cervici2,3,Intro,Consent,1643635830,1,0,0
jo496rl6,40,cqq67dm6,3,Intro,Consent,1643635831,1,0,0
jo496rl6,104,h17cy1ax,0,,InitializeParticipant,1643635832,1,0,0
jo496rl6,69,hh9rq3do,3,Intro,Consent,1643635833,1,0,0
jo496rl6,108,ojbbn686,0,,InitializeParticipant,1643635833,1,0,0
jo496rl6,111,qlny5xyt,0,,InitializeParticipant,1643635834,1,0,0
jo496rl6,114,xuquiftp,0,,InitializeParticipant,1643635834,1,0,0
jo496rl6,56,zmh3pcq6,1,Intro,Welcome,1643635834,1,0,0
jo496rl6,117,6d4h77l7,0,,InitializeParticipant,1643635835,1,0,0
jo496rl6,129,n9asyqk8,0,,InitializeParticipant,1643635837,1,0,0
jo496rl6,128,jokjxt0m,0,,InitializeParticipant,1643635837,1,0,0
jo496rl6,14,xysp46h9,1,Intro,Welcome,1643635838,1,0,0
jo496rl6,140,q1uar4uc,0,,InitializeParticipant,1643635840,1,0,0
jo496rl6,141,hrrraope,0,,InitializeParticipant,1643635840,1,0,0
jo496rl6,12,9bui8zss,3,Intro,Consent,1643635842,1,0,0
jo496rl6,152,0kbcvbkw,0,,InitializeParticipant,1643635845,1,0,0
jo496rl6,154,s5oqmafc,0,,InitializeParticipant,1643635846,1,0,0
jo496rl6,158,jmt05phu,0,,InitializeParticipant,1643635847,1,0,0
jo496rl6,14,xysp46h9,3,Intro,Consent,1643635851,1,0,0
jo496rl6,178,ahzowyl4,0,,InitializeParticipant,1643635851,1,0,0
jo496rl6,147,oofhim17,1,Intro,Welcome,1643635852,1,0,0
jo496rl6,90,8tjlqncy,1,Intro,Welcome,1643635852,1,0,0
jo496rl6,12,9bui8zss,0,,InitializeParticipant,1643635790,1,0,0
jo496rl6,13,fxmi0uc8,0,,InitializeParticipant,1643635790,1,0,0
jo496rl6,16,ys08wudz,1,Intro,Welcome,1643635795,1,0,0
jo496rl6,26,kp3chkrz,0,,InitializeParticipant,1643635797,1,0,0
jo496rl6,34,7nrpf8p2,0,,InitializeParticipant,1643635803,1,0,0
jo496rl6,41,mn3jz9ye,0,,InitializeParticipant,1643635805,1,0,0
jo496rl6,42,608it929,0,,InitializeParticipant,1643635805,1,0,0
jo496rl6,43,9llctmb1,0,,InitializeParticipant,1643635806,1,0,0
jo496rl6,47,uhcb81su,0,,InitializeParticipant,1643635808,1,0,0
jo496rl6,39,pomz84mw,1,Intro,Welcome,1643635808,1,0,0
jo496rl6,21,4n8t6bjb,1,Intro,Welcome,1643635809,1,0,0
jo496rl6,51,npc7new1,0,,InitializeParticipant,1643635811,1,0,0
jo496rl6,47,uhcb81su,1,Intro,Welcome,1643635813,1,0,0
jo496rl6,57,a175wr33,0,,InitializeParticipant,1643635813,1,0,0
jo496rl6,60,9be0n16x,0,,InitializeParticipant,1643635814,1,0,0
jo496rl6,63,cevyt8wl,0,,InitializeParticipant,1643635815,1,0,0
jo496rl6,64,ykfo5bgm,0,,InitializeParticipant,1643635817,1,0,0
jo496rl6,65,cgtjmnob,0,,InitializeParticipant,1643635817,1,0,0
jo496rl6,54,vm9asstw,1,Intro,Welcome,1643635818,1,0,0
jo496rl6,36,ij6f24sz,1,Intro,Welcome,1643635818,1,0,0
jo496rl6,70,i810wgs4,0,,InitializeParticipant,1643635819,1,0,0
jo496rl6,74,4im80m5i,0,,InitializeParticipant,1643635822,1,0,0
jo496rl6,75,oey28u03,0,,InitializeParticipant,1643635822,1,0,0
jo496rl6,77,y1gpcjrd,0,,InitializeParticipant,1643635822,1,0,0
jo496rl6,78,7uzyfya3,0,,InitializeParticipant,1643635823,1,0,0
jo496rl6,81,8ps7edxj,0,,InitializeParticipant,1643635823,1,0,0
jo496rl6,66,nptzn8et,1,Intro,Welcome,1643635824,1,0,0
jo496rl6,96,5h8xswoe,0,,InitializeParticipant,1643635828,1,0,0
jo496rl6,95,sfl9emaz,0,,InitializeParticipant,1643635828,1,0,0
jo496rl6,116,e17wg7dm,0,,InitializeParticipant,1643635835,1,0,0
jo496rl6,125,cf3kaxej,0,,InitializeParticipant,1643635836,1,0,0
jo496rl6,92,9lgmwtrd,1,Intro,Welcome,1643635837,1,0,0
jo496rl6,88,1trfkrkj,1,Intro,Welcome,1643635837,1,0,0
jo496rl6,132,d7i50x30,0,,InitializeParticipant,1643635838,1,0,0
jo496rl6,12,9bui8zss,1,Intro,Welcome,1643635838,1,0,0
jo496rl6,42,608it929,1,Intro,Welcome,1643635839,1,0,0
jo496rl6,137,wtvxj2aj,0,,InitializeParticipant,1643635839,1,0,0
jo496rl6,138,us8osb4h,0,,InitializeParticipant,1643635839,1,0,0
jo496rl6,144,jz7ygjyg,0,,InitializeParticipant,1643635842,1,0,0
jo496rl6,42,608it929,3,Intro,Consent,1643635842,1,0,0
jo496rl6,73,qx2uint7,3,Intro,Consent,1643635843,1,0,0
jo496rl6,54,vm9asstw,3,Intro,Consent,1643635843,1,0,0
jo496rl6,145,3e9n1c4k,0,,InitializeParticipant,1643635843,1,0,0
jo496rl6,156,d08cxlxt,0,,InitializeParticipant,1643635847,1,0,0
jo496rl6,32,kghnqhou,1,Intro,Welcome,1643635848,1,0,0
jo496rl6,169,q4pixyys,0,,InitializeParticipant,1643635850,1,0,0
jo496rl6,60,9be0n16x,3,Intro,Consent,1643635852,1,0,0
jo496rl6,141,hrrraope,1,Intro,Welcome,1643635853,1,0,0
jo496rl6,142,itn1k6kt,1,Intro,Welcome,1643635853,1,0,0
jo496rl6,182,oiq2bx0j,0,,InitializeParticipant,1643635853,1,0,0
jo496rl6,45,mzsfjsgk,3,Intro,Consent,1643635854,1,0,0
jo496rl6,17,fo1w2ll1,0,,InitializeParticipant,1643635793,1,0,0
jo496rl6,13,fxmi0uc8,1,Intro,Welcome,1643635793,1,0,0
jo496rl6,19,e9y6c4et,0,,InitializeParticipant,1643635795,1,0,0
jo496rl6,24,i3kioslg,0,,InitializeParticipant,1643635796,1,0,0
jo496rl6,30,h4baw97y,0,,InitializeParticipant,1643635801,1,0,0
jo496rl6,33,k9wwdmm1,0,,InitializeParticipant,1643635802,1,0,0
jo496rl6,32,kghnqhou,0,,InitializeParticipant,1643635803,1,0,0
jo496rl6,35,k9pj8rl4,0,,InitializeParticipant,1643635803,1,0,0
jo496rl6,11,gpknv1v0,1,Intro,Welcome,1643635803,1,0,0
jo496rl6,49,pe1di1ou,0,,InitializeParticipant,1643635809,1,0,0
jo496rl6,52,mt48sw3a,0,,InitializeParticipant,1643635811,1,0,0
jo496rl6,21,4n8t6bjb,3,Intro,Consent,1643635811,1,0,0
jo496rl6,37,1zs7n37b,1,Intro,Welcome,1643635812,1,0,0
jo496rl6,35,k9pj8rl4,1,Intro,Welcome,1643635813,1,0,0
jo496rl6,62,bq14cmvp,0,,InitializeParticipant,1643635815,1,0,0
jo496rl6,67,rat71z2d,0,,InitializeParticipant,1643635817,1,0,0
jo496rl6,28,l4b1ikn7,1,Intro,Welcome,1643635819,1,0,0
jo496rl6,68,sryluqjm,1,Intro,Welcome,1643635822,1,0,0
jo496rl6,67,rat71z2d,3,Intro,Consent,1643635822,1,0,0
jo496rl6,28,l4b1ikn7,3,Intro,Consent,1643635823,1,0,0
jo496rl6,82,3rtogwxb,0,,InitializeParticipant,1643635824,1,0,0
jo496rl6,88,1trfkrkj,0,,InitializeParticipant,1643635825,1,0,0
jo496rl6,69,hh9rq3do,1,Intro,Welcome,1643635827,1,0,0
jo496rl6,98,gkymxvan,0,,InitializeParticipant,1643635830,1,0,0
jo496rl6,72,yozoiqey,1,Intro,Welcome,1643635831,1,0,0
jo496rl6,110,i7mvf34p,0,,InitializeParticipant,1643635833,1,0,0
jo496rl6,113,pnv605bp,0,,InitializeParticipant,1643635834,1,0,0
jo496rl6,112,lmypmo9u,0,,InitializeParticipant,1643635834,1,0,0
jo496rl6,115,8l5rnf9i,0,,InitializeParticipant,1643635835,1,0,0
jo496rl6,120,0wodxhqm,0,,InitializeParticipant,1643635836,1,0,0
jo496rl6,123,ki12az26,0,,InitializeParticipant,1643635836,1,0,0
jo496rl6,124,v7fk18px,0,,InitializeParticipant,1643635837,1,0,0
jo496rl6,126,zuxarbs5,0,,InitializeParticipant,1643635837,1,0,0
jo496rl6,73,qx2uint7,1,Intro,Welcome,1643635838,1,0,0
jo496rl6,135,hfboftra,0,,InitializeParticipant,1643635839,1,0,0
jo496rl6,88,1trfkrkj,3,Intro,Consent,1643635839,1,0,0
jo496rl6,79,9ply18bj,3,Intro,Consent,1643635842,1,0,0
jo496rl6,151,1ntyawjh,0,,InitializeParticipant,1643635845,1,0,0
jo496rl6,160,39ma4jrr,0,,InitializeParticipant,1643635848,1,0,0
jo496rl6,161,1y6tvrtd,0,,InitializeParticipant,1643635848,1,0,0
jo496rl6,164,wfojt6kx,0,,InitializeParticipant,1643635849,1,0,0
jo496rl6,26,kp3chkrz,3,Intro,Consent,1643635849,1,0,0
jo496rl6,51,npc7new1,1,Intro,Welcome,1643635850,1,0,0
jo496rl6,176,99qfof5e,0,,InitializeParticipant,1643635851,1,0,0
jo496rl6,98,gkymxvan,1,Intro,Welcome,1643635853,1,0,0
jo496rl6,183,i0w2jbld,0,,InitializeParticipant,1643635853,1,0,0
jo496rl6,105,lwrx99h5,1,Intro,Welcome,1643635854,1,0,0
jo496rl6,186,y7bwj9v0,0,,InitializeParticipant,1643635854,1,0,0
jo496rl6,101,mjhiwqb5,1,Intro,Welcome,1643635855,1,0,0
jo496rl6,123,ki12az26,1,Intro,Welcome,1643635856,1,0,0
jo496rl6,53,e5g4w001,1,Intro,Welcome,1643635856,1,0,0
jo496rl6,14,xysp46h9,0,,InitializeParticipant,1643635791,1,0,0
jo496rl6,18,jp5j63qx,0,,InitializeParticipant,1643635794,1,0,0
jo496rl6,28,l4b1ikn7,0,,InitializeParticipant,1643635799,1,0,0
jo496rl6,38,52vci9ec,0,,InitializeParticipant,1643635804,1,0,0
jo496rl6,39,pomz84mw,0,,InitializeParticipant,1643635804,1,0,0
jo496rl6,40,cqq67dm6,0,,InitializeParticipant,1643635805,1,0,0
jo496rl6,45,mzsfjsgk,0,,InitializeParticipant,1643635807,1,0,0
jo496rl6,46,ivzxemt1,0,,InitializeParticipant,1643635807,1,0,0
jo496rl6,39,pomz84mw,3,Intro,Consent,1643635811,1,0,0
jo496rl6,55,0q44z3mp,0,,InitializeParticipant,1643635813,1,0,0
jo496rl6,58,3rar2o9n,0,,InitializeParticipant,1643635814,1,0,0
jo496rl6,68,sryluqjm,0,,InitializeParticipant,1643635818,1,0,0
jo496rl6,72,yozoiqey,0,,InitializeParticipant,1643635819,1,0,0
jo496rl6,79,9ply18bj,0,,InitializeParticipant,1643635823,1,0,0
jo496rl6,23,cervici2,1,Intro,Welcome,1643635824,1,0,0
jo496rl6,83,7dd3umjr,0,,InitializeParticipant,1643635824,1,0,0
jo496rl6,68,sryluqjm,3,Intro,Consent,1643635827,1,0,0
jo496rl6,91,89e6wuwf,0,,InitializeParticipant,1643635827,1,0,0
jo496rl6,93,g4z66yi1,0,,InitializeParticipant,1643635828,1,0,0
jo496rl6,97,vwfxf0j5,0,,InitializeParticipant,1643635828,1,0,0
jo496rl6,63,cevyt8wl,1,Intro,Welcome,1643635830,1,0,0
jo496rl6,99,gw92z1rh,0,,InitializeParticipant,1643635830,1,0,0
jo496rl6,50,emkipr51,3,Intro,Consent,1643635831,1,0,0
jo496rl6,103,rptjy0q2,0,,InitializeParticipant,1643635832,1,0,0
jo496rl6,106,bzg6gklr,0,,InitializeParticipant,1643635833,1,0,0
jo496rl6,107,7fgduu3t,0,,InitializeParticipant,1643635833,1,0,0
jo496rl6,118,a163pi98,0,,InitializeParticipant,1643635836,1,0,0
jo496rl6,119,mmzf9zci,0,,InitializeParticipant,1643635836,1,0,0
jo496rl6,121,tmbrq66u,0,,InitializeParticipant,1643635836,1,0,0
jo496rl6,131,4gevvlsv,0,,InitializeParticipant,1643635838,1,0,0
jo496rl6,136,ggh2l9zc,0,,InitializeParticipant,1643635839,1,0,0
jo496rl6,52,mt48sw3a,1,Intro,Welcome,1643635839,1,0,0
jo496rl6,92,9lgmwtrd,3,Intro,Consent,1643635842,1,0,0
jo496rl6,29,8kqy6h58,1,Intro,Welcome,1643635842,1,0,0
jo496rl6,59,jgpo65x6,1,Intro,Welcome,1643635844,1,0,0
jo496rl6,60,9be0n16x,1,Intro,Welcome,1643635845,1,0,0
jo496rl6,155,90628t0s,0,,InitializeParticipant,1643635847,1,0,0
jo496rl6,163,i4qip9go,0,,InitializeParticipant,1643635848,1,0,0
jo496rl6,167,r0t0titx,0,,InitializeParticipant,1643635849,1,0,0
jo496rl6,59,jgpo65x6,3,Intro,Consent,1643635850,1,0,0
jo496rl6,45,mzsfjsgk,1,Intro,Welcome,1643635850,1,0,0
